5periodo,4periodo,3periodo,2periodo,1periodo,10periodo
200661.0,195926.0,607.0,607.0,607,677562.0
405857.0,320016.0,188153.0,109066.0,32194,811787.0
402486.0,321704.0,240248.0,160486.0,78498,802672.0
403498.0,323057.0,226727.0,161159.0,81054,814493.0
402152.0,320013.0,242277.0,162174.0,81055,810440.0
400795.0,318999.0,241593.0,162848.0,80718,806719.0
401131.0,325086.0,243627.0,161496.0,81392,813809.0
405517.0,319005.0,236191.0,162513.0,79704,809087.0
400119.0,320683.0,237209.0,163189.0,80044,418365.0
407893.0,326098.0,238223.0,161158.0,80042,607.0
407218.0,323394.0,245654.0,161500.0,81054,607.0
403499.0,320011.0,239571.0,160819.0,79706,607.0
404847.0,318325.0,240251.0,162853.0,80718,607.0
404844.0,316976.0,238558.0,164203.0,79364,607.0
403501.0,323056.0,240250.0,161161.0,79704,607.0
404852.0,316636.0,242615.0,162514.0,78689,607.0
404178.0,316638.0,242277.0,161832.0,81735,607.0
107418.0,316299.0,238902.0,161162.0,80379,607.0
607.0,304133.0,239235.0,163191.0,80380,607.0
607.0,322379.0,242611.0,162515.0,79705,NaN
607.0,320692.0,237889.0,160481.0,82746,NaN
607.0,183804.0,238897.0,161495.0,81735,NaN
607.0,607.0,240923.0,162516.0,81397,NaN
607.0,607.0,241267.0,160139.0,80717,NaN
607.0,607.0,233826.0,163182.0,83423,NaN
607.0,607.0,242617.0,160144.0,81059,NaN
607.0,607.0,238897.0,161839.0,82749,NaN
607.0,607.0,242953.0,160478.0,80378,NaN
NaN,607.0,237884.0,162509.0,82072,NaN
NaN,607.0,117899.0,160147.0,81393,NaN
NaN,607.0,607.0,161837.0,82070,NaN
NaN,607.0,607.0,163529.0,81393,NaN
NaN,NaN,607.0,158796.0,81056,NaN
NaN,NaN,607.0,163864.0,80043,NaN
NaN,NaN,607.0,161498.0,83761,NaN
NaN,NaN,607.0,161159.0,77340,NaN
NaN,NaN,607.0,161837.0,81057,NaN
NaN,NaN,607.0,164541.0,80043,NaN
NaN,NaN,607.0,163526.0,79706,NaN
NaN,NaN,607.0,158795.0,79705,NaN
NaN,NaN,NaN,162177.0,79365,NaN
NaN,NaN,NaN,159809.0,81055,NaN
NaN,NaN,NaN,161498.0,81056,NaN
NaN,NaN,NaN,44211.0,82073,NaN
NaN,NaN,NaN,607.0,80044,NaN
NaN,NaN,NaN,607.0,80382,NaN
NaN,NaN,NaN,607.0,79366,NaN
NaN,NaN,NaN,607.0,79706,NaN
NaN,NaN,NaN,607.0,82071,NaN
NaN,NaN,NaN,607.0,83420,NaN
NaN,NaN,NaN,607.0,81731,NaN
NaN,NaN,NaN,607.0,82072,NaN
NaN,NaN,NaN,607.0,81396,NaN
NaN,NaN,NaN,607.0,81055,NaN
NaN,NaN,NaN,NaN,82407,NaN
NaN,NaN,NaN,NaN,81735,NaN
NaN,NaN,NaN,NaN,82070,NaN
NaN,NaN,NaN,NaN,80719,NaN
NaN,NaN,NaN,NaN,82072,NaN
NaN,NaN,NaN,NaN,79364,NaN
NaN,NaN,NaN,NaN,81058,NaN
NaN,NaN,NaN,NaN,81391,NaN
NaN,NaN,NaN,NaN,81057,NaN
NaN,NaN,NaN,NaN,81396,NaN
NaN,NaN,NaN,NaN,79369,NaN
NaN,NaN,NaN,NaN,78015,NaN
NaN,NaN,NaN,NaN,80383,NaN
NaN,NaN,NaN,NaN,79704,NaN
NaN,NaN,NaN,NaN,81397,NaN
NaN,NaN,NaN,NaN,80043,NaN
NaN,NaN,NaN,NaN,80041,NaN
NaN,NaN,NaN,NaN,79025,NaN
NaN,NaN,NaN,NaN,77674,NaN
NaN,NaN,NaN,NaN,82072,NaN
NaN,NaN,NaN,NaN,80381,NaN
NaN,NaN,NaN,NaN,81734,NaN
NaN,NaN,NaN,NaN,80380,NaN
NaN,NaN,NaN,NaN,78353,NaN
NaN,NaN,NaN,NaN,80045,NaN
NaN,NaN,NaN,NaN,80380,NaN
NaN,NaN,NaN,NaN,78690,NaN
NaN,NaN,NaN,NaN,79367,NaN
NaN,NaN,NaN,NaN,80718,NaN
NaN,NaN,NaN,NaN,79705,NaN
NaN,NaN,NaN,NaN,79368,NaN
NaN,NaN,NaN,NaN,80042,NaN
NaN,NaN,NaN,NaN,7372,NaN
NaN,NaN,NaN,NaN,607,NaN
NaN,NaN,NaN,NaN,607,NaN
NaN,NaN,NaN,NaN,607,NaN
NaN,NaN,NaN,NaN,607,NaN
NaN,NaN,NaN,NaN,607,NaN
NaN,NaN,NaN,NaN,607,NaN
NaN,NaN,NaN,NaN,607,NaN
NaN,NaN,NaN,NaN,607,NaN
NaN,NaN,NaN,NaN,607,NaN
NaN,NaN,NaN,NaN,607,NaN
