3instance;2instance;1instance
1,6274696302365412;0,2522718030078907;1,0789504106350287
53,82267615065232;143,57865005129457;41,52155061577497
154,9389609226006;158,09879106298075;106,57444278920161
152,4583097900407;166,2390323134152;140,72435762325225
121,22322072116256;173,91464182496082;162,11944226550588
161,82255553971115;180,39211574708247;176,5706519908965
157,0528485689534;183,2856126834744;187,00659202666105
138,54119704282948;187,66961957665964;187,73919358928026
181,52521058112663;190,0017659868635;194,6035628124894
183,45509947751293;193,3599350902634;200,02987662159316
174,4723110824845;191,52986369021875;204,21458073523445
184,85966002159608;194,00735636856714;208,32399959299113
189,87566879269855;195,85317371307812;211,95508038877145
178,90017655580525;198,1009971636296;210,5954121077543
192,0103188334979;199,22233572343126;213,37518511276616
195,19537536346584;201,02108670473737;215,76759585942574
186,4890421683742;199,59421347819716;217,9534484987144
196,53174865958337;201,1247790305506;220,0012964358925
196,7503612120326;202,20799114709155;221,44184035567875
191,25312150759535;203,3934361339074;219,73919626012392
195,86662652344256;204,65843992620134;220,91288012854537
198,15021310356522;205,9001327170877;222,17945083978194
191,22331869165413;206,3817149076272;223,3999450128572
199,21654280158043;207,63200172528028;224,51539833304608
201,4868527555247;205,81010293011482;225,5316180610429
194,9690876817024;208,6381690615517;226,50731385566655
200,97351051245516;207,04358457631616;225,0217443333423
200,94101957178773;208,3306768845139;225,91383873875827
196,67599444495173;208,6394880441071;226,83025149035188
202,81680714299804;209,40130069312434;227,57048142389306
198,85779397224275;209,93921653836455;228,30955820835248
193,05916916244237;210,38873433536426;228,8471748564441
203,04800305678393;210,38762492476155;229,32458985645107
204,84678567352597;211,21725516719837;227,89703484364284
199,31703683128404;209,85310666032365;228,50023562823273
204,24407061843755;211,51306568600023;229,13473717015987
203,9393279836769;209,949390116874;229,75743430385705
201,19383244195086;210,40106380061388;230,2865429518757
204,04858705647445;210,53313225321247;230,71938169507132
205,5242956949919;210,91596585302761;231,43077354571793
201,1486223350731;210,85483107482204;230,28390532468114
205,18434931765307;211,21413393975052;230,87470889353042
206,44830253056602;209,939383875424;231,3069898671201
202,70129893551612;212,0608544291993;231,604575387173
206,6835330996682;211,86607809979003;231,97034436102987
206,4031540645228;212,1429567006306;232,1828044891982
202,74373069490724;211,16695322916377;232,58204963741414
206,22046607580415;211,67226081336133;231,5999617386387
207,27732912601292;211,87101171563467;232,03341805885918
203,7383497973977;212,16848018593012;232,4330367327336
207,1771858861179;212,37686700661806;232,77842521991292
205,88538673878827;212,86710028108592;233,14871454969997
202,19215276241562;212,78287159594436;233,4474291101494
208,15765044350638;213,1445061174596;232,54283632840085
208,04987595599636;213,2993359989196;232,8320386080807
204,9849044686824;213,67327254349655;233,1277719434057
208,19940685589958;212,67471838775165;233,43108433015152
209,34584586794605;212,88634673206147;233,80366448707488
206,1887415899346;213,0530493640937;234,1685098301319
208,99938927145504;213,31143895850474;233,20000313084205
208,7004436552387;213,5210725113508;233,49496177254613
206,90796663936288;213,61457203261529;233,8431030597503
208,6288082426612;212,54689226859801;234,13324641684403
209,58371666708558;213,59976889567974;234,31398707861615
206,82846737589418;212,54825556528385;234,54977367132759
209,22544496178787;212,6907432877562;234,75696865251956
209,9857202921556;212,79992305716272;233,96669254357343
207,49820824489646;213,1364659605948;234,31081167728044
209,86535323732735;213,2769412488084;234,5157187005893
207,90683820160882;213,42372230480865;234,7152676055572
205,184449085341;212,72526114586424;234,97620595049585
209,20081964750676;212,9222388270733;235,23914220570524
209,8174707039339;212,934134403596;234,50206526712333
207,63979582441286;213,14820922469997;234,80444822192962
209,80912435243482;213,27436163695816;235,0413437067605
210,36875039238333;213,46607318240615;235,22457354850062
208,05264219051483;212,71956609054843;235,38039942989812
210,15030664650695;212,947227193525;235,5763217886247
208,3090083778227;213,0791967700013;234,847778801104
205,85955133367716;213,38321647614598;235,1017174385151
209,67891457825388;213,37686562750673;235,22755230484097
208,91060899129906;213,56462748852076;235,4409308441287
206,56117240162004;213,5390526765184;235,661090803998
210,16605497792276;213,70783912373918;235,88018350640078
209,84023106767538;212,97236863142783;234,89946509354368
208,53180846526618;213,14216379729814;232,38356943401965
209,59452037356235;213,32992324528323;229,92700473663515
210,27510880020426;213,5258473378674;227,5227793895627
208,153364823903;213,58738571043918;224,40452534596585
209,88757103717396;213,81932094988645;222,11320896943144
210,30218792789054;212,89168141152493;219,86858994437154
208,42054190996882;210,15081662323632;217,668417375325
210,12832837212406;201,7756475638957;214,81188243394783
210,0139899710196;199,91872200554312;212,7108631073784
208,1807004580993;192,32519859548398;210,6511034479695
209,36397218021696;190,63714804627244;NaN
207,26699104811388;183,210731480918;NaN
205,31915048816958;181,6779968706665;NaN
203,40593335504656;175,38597199230603;NaN
200,9165879214211;173,98173977126766;NaN
199,08331822659065;172,15023962362227;NaN
197,2839031581883;NaN;NaN
195,51593227380855;NaN;NaN
193,78063056642335;NaN;NaN
191,52117042242938;NaN;NaN
189,85621593591574;NaN;NaN
