3instance,2instance,1instance
1,0.0,0.0
115,754.0,89.0
321,231.0,241.0
141,209.0,240.0
32,223.0,240.0
359,224.0,240.0
119,204.0,241.0
0,223.0,239.0
515,212.0,240.0
249,224.0,239.0
25,218.0,238.0
357,220.0,243.0
242,215.0,246.0
25,224.0,245.0
370,210.0,242.0
235,224.0,241.0
37,226.0,242.0
360,224.0,243.0
255,218.0,238.0
20,222.0,243.0
342,224.0,233.0
241,233.0,238.0
30,212.0,241.0
379,231.0,241.0
249,214.0,242.0
21,221.0,241.0
352,213.0,244.0
256,237.0,239.0
14,209.0,242.0
377,227.0,240.0
132,219.0,239.0
0,225.0,240.0
519,209.0,239.0
263,234.0,242.0
0,219.0,238.0
371,208.0,242.0
248,204.0,242.0
27,223.0,241.0
369,209.0,237.0
256,219.0,247.0
14,203.0,242.0
364,218.0,242.0
256,212.0,238.0
30,240.0,234.0
373,200.0,235.0
251,219.0,238.0
24,221.0,240.0
363,229.0,244.0
253,211.0,240.0
17,220.0,242.0
372,219.0,239.0
133,232.0,240.0
0,215.0,238.0
523,225.0,243.0
258,217.0,237.0
23,226.0,237.0
381,209.0,241.0
270,218.0,243.0
10,214.0,247.0
369,218.0,235.0
246,216.0,241.0
25,209.0,243.0
370,202.0,240.0
261,210.0,237.0
17,199.0,239.0
360,211.0,241.0
252,210.0,240.0
29,226.0,244.0
369,213.0,237.0
125,215.0,238.0
0,216.0,242.0
508,217.0,242.0
246,204.0,240.0
36,221.0,246.0
365,214.0,243.0
245,217.0,238.0
19,210.0,234.0
365,222.0,238.0
118,213.0,236.0
0,229.0,242.0
515,203.0,236.0
138,219.0,242.0
0,207.0,240.0
504,221.0,240.0
241,206.0,208.0
23,217.0,0.0
356,218.0,0.0
260,221.0,0.0
8,210.0,0.0
363,225.0,0.0
240,118.0,0.0
23,0.0,0.0
365,0.0,0.0
256,0.0,0.0
20,0.0,0.0
323,0.0,NaN
0,0.0,NaN
0,0.0,NaN
0,0.0,NaN
0,0.0,NaN
0,0.0,NaN
0,NaN,NaN
0,NaN,NaN
0,NaN,NaN
0,NaN,NaN
0,NaN,NaN
