4node,3node,2node,1node
0,0.0,0.0,0.0
88,0.0,79.0,89.0
4,316.0,185.0,241.0
429,0.0,229.0,240.0
0,330.0,317.0,240.0
390,355.0,228.0,240.0
0,54.0,242.0,241.0
317,243.0,228.0,239.0
0,331.0,217.0,240.0
532,53.0,222.0,239.0
0,280.0,150.0,238.0
373,320.0,229.0,243.0
152,49.0,152.0,246.0
293,268.0,204.0,245.0
0,351.0,300.0,242.0
391,42.0,211.0,241.0
0,273.0,214.0,242.0
400,339.0,232.0,243.0
0,0.0,127.0,238.0
433,291.0,220.0,243.0
0,369.0,386.0,233.0
435,50.0,230.0,238.0
0,263.0,79.0,241.0
0,325.0,220.0,241.0
626,49.0,360.0,242.0
271,284.0,237.0,241.0
47,338.0,122.0,244.0
0,54.0,222.0,239.0
500,260.0,318.0,242.0
277,342.0,234.0,240.0
0,49.0,150.0,239.0
0,262.0,223.0,240.0
551,393.0,296.0,239.0
261,0.0,240.0,242.0
0,294.0,122.0,238.0
0,350.0,229.0,242.0
579,0.0,232.0,242.0
280,332.0,225.0,241.0
0,345.0,423.0,237.0
0,49.0,260.0,247.0
532,280.0,40.0,242.0
272,335.0,210.0,242.0
39,53.0,313.0,238.0
367,273.0,225.0,234.0
106,339.0,204.0,235.0
256,40.0,217.0,238.0
21,270.0,211.0,240.0
425,363.0,231.0,244.0
0,43.0,330.0,240.0
446,278.0,239.0,242.0
0,350.0,130.0,239.0
362,50.0,229.0,240.0
333,250.0,269.0,238.0
148,338.0,234.0,243.0
0,54.0,273.0,237.0
290,261.0,219.0,237.0
252,350.0,148.0,241.0
281,0.0,224.0,243.0
1,322.0,389.0,247.0
431,347.0,233.0,235.0
0,51.0,48.0,241.0
414,250.0,203.0,243.0
0,349.0,412.0,240.0
412,0.0,250.0,237.0
0,322.0,118.0,239.0
418,357.0,210.0,241.0
0,0.0,375.0,240.0
396,300.0,231.0,244.0
309,341.0,222.0,237.0
128,36.0,231.0,238.0
0,292.0,206.0,242.0
385,352.0,226.0,242.0
320,51.0,253.0,240.0
127,256.0,231.0,246.0
0,331.0,220.0,243.0
410,54.0,233.0,238.0
0,268.0,176.0,234.0
416,335.0,221.0,238.0
0,0.0,266.0,236.0
409,324.0,225.0,242.0
0,357.0,64.0,236.0
400,35.0,198.0,242.0
0,278.0,274.0,240.0
415,338.0,233.0,240.0
297,0.0,367.0,208.0
153,315.0,233.0,0.0
0,331.0,224.0,0.0
392,51.0,216.0,0.0
0,286.0,201.0,0.0
433,324.0,71.0,0.0
0,56.0,0.0,0.0
397,272.0,0.0,0.0
0,189.0,0.0,0.0
422,0.0,0.0,0.0
0,0.0,0.0,0.0
391,0.0,0.0,NaN
321,0.0,0.0,NaN
44,0.0,0.0,NaN
0,0.0,0.0,NaN
0,0.0,0.0,NaN
0,0.0,NaN,NaN
0,0.0,NaN,NaN
0,0.0,NaN,NaN
0,NaN,NaN,NaN
0,NaN,NaN,NaN
0,NaN,NaN,NaN
0,NaN,NaN,NaN
0,NaN,NaN,NaN
