4threads,3threads,2threads,1threads
607,607.0,607.0,607.0
31186,29842.0,30850.0,30516.0
80518,79495.0,81869.0,81867.0
80380,82408.0,80719.0,81732.0
80045,80718.0,81733.0,81733.0
80382,81733.0,80378.0,81734.0
79367,81058.0,80039.0,82069.0
81394,81732.0,81056.0,81396.0
78687,80716.0,80043.0,81730.0
79027,82072.0,80381.0,81394.0
80720,81057.0,81732.0,81058.0
80719,81057.0,83425.0,82744.0
80381,80042.0,80041.0,83759.0
80044,81058.0,81394.0,83418.0
81730,81397.0,80382.0,82410.0
80380,80378.0,79705.0,82071.0
81057,80382.0,81397.0,82407.0
80379,81058.0,83084.0,82745.0
81394,80380.0,80377.0,81056.0
81393,80040.0,81397.0,82747.0
81730,82411.0,81394.0,79363.0
80381,80382.0,81732.0,81055.0
81390,80039.0,82746.0,82069.0
81395,81055.0,80380.0,82071.0
82068,81395.0,80044.0,82406.0
79706,81392.0,80379.0,82067.0
82742,79706.0,80041.0,83085.0
81058,80381.0,80718.0,81394.0
80041,80721.0,80043.0,82409.0
81054,81735.0,81059.0,81732.0
81395,81395.0,81057.0,81394.0
79704,81733.0,80719.0,81731.0
81056,80382.0,81054.0,81396.0
81056,81394.0,80041.0,82403.0
82068,81731.0,82407.0,81053.0
81056,81056.0,79367.0,82410.0
79705,81391.0,80381.0,82410.0
81056,80719.0,81054.0,82071.0
79705,82069.0,82410.0,80720.0
81735,82748.0,81733.0,84099.0
79028,82073.0,80381.0,82403.0
76322,79702.0,80717.0,82409.0
80040,80043.0,81392.0,81059.0
80042,82408.0,82068.0,79705.0
80041,81057.0,79364.0,80043.0
82409,80718.0,81058.0,81054.0
81394,81059.0,80718.0,81732.0
79024,81394.0,81397.0,83082.0
81733,79706.0,79362.0,81730.0
80382,83762.0,81735.0,82410.0
80380,80381.0,80721.0,81394.0
82070,83761.0,80381.0,81734.0
79705,80379.0,82746.0,81056.0
81732,81053.0,79705.0,82749.0
80381,80719.0,79366.0,80720.0
81056,80718.0,82069.0,80719.0
81396,79704.0,80043.0,82071.0
82408,80043.0,82410.0,82745.0
80043,80381.0,77678.0,84097.0
80378,81731.0,80717.0,80041.0
79704,80382.0,80042.0,82072.0
81734,80380.0,78691.0,82749.0
81393,82745.0,80719.0,81732.0
80382,79707.0,81731.0,80719.0
80717,82407.0,80382.0,81396.0
82071,82072.0,80381.0,82069.0
80044,79705.0,83084.0,81733.0
80382,79365.0,81734.0,83082.0
79707,80042.0,80382.0,80721.0
80378,81734.0,81396.0,81059.0
81056,80381.0,80044.0,82406.0
80377,82072.0,80041.0,82407.0
81055,81731.0,82409.0,81733.0
80383,82068.0,79704.0,83759.0
80716,81396.0,81734.0,82744.0
81057,81057.0,81054.0,81057.0
80718,80377.0,82747.0,79706.0
81394,83082.0,81054.0,81057.0
81397,80719.0,83758.0,80378.0
80719,82746.0,81734.0,82409.0
80380,81056.0,80377.0,80380.0
82408,80380.0,81396.0,82408.0
81395,80043.0,83083.0,81731.0
80379,81058.0,80379.0,81733.0
80716,79705.0,81056.0,70916.0
80716,54015.0,59759.0,607.0
1626,607.0,607.0,607.0
607,607.0,607.0,607.0
607,607.0,607.0,607.0
607,607.0,607.0,607.0
607,607.0,607.0,607.0
607,607.0,607.0,607.0
608,607.0,607.0,607.0
608,607.0,607.0,607.0
608,607.0,607.0,607.0
608,607.0,607.0,NaN
608,NaN,NaN,NaN
